 ========================================================================================================================
                    EVENT   AVG TIME (s)       (%)   MAX TIME (s)   MIN TIME (s)    STD ERR (s)    BALANCE (%)
 ------------------------------------------------------------------------------------------------------------------------
                solve psi     0.2061E+00       0.1     0.2234E+00     0.1988E+00     0.1007E-01            4.9
                 solve bz     0.5090E+00       0.4     0.5957E+00     0.4206E+00     0.6649E-01           13.1
            solve beam bt     0.2282E+00       0.2     0.2297E+00     0.2267E+00     0.1218E-02            0.5
          solve plasma bt     0.7369E+00       0.5     0.9447E+00     0.5254E+00     0.1569E+00           21.3
                 solve ez     0.5417E+00       0.4     0.6401E+00     0.4467E+00     0.7290E-01           13.5
            solve beam et     0.0000E+00       0.0     0.0000E+00     0.0000E+00     0.0000E+00            NaN
          solve plasma et     0.7587E-01       0.1     0.8482E-01     0.6723E-01     0.7341E-02            9.7
           solve plasma A     0.0000E+00       0.0     0.0000E+00     0.0000E+00     0.0000E+00            NaN
                   smooth     0.0000E+00       0.0     0.0000E+00     0.0000E+00     0.0000E+00            NaN
         copy guard cells     0.7044E-01       0.0     0.8053E-01     0.5749E-01     0.9320E-02           13.2
   copy & add guard cells     0.4985E-01       0.0     0.5818E-01     0.4010E-01     0.6917E-02           13.9
              copy slices     0.2285E+00       0.2     0.2316E+00     0.2263E+00     0.2068E-02            0.9
                 pipeline     0.7731E+01       5.4     0.2126E+02     0.1053E+01     0.8224E+01          106.4
     deposit 2D particles     0.5800E+02      40.4     0.7191E+02     0.4335E+02     0.1076E+02           18.6
        push 2D particles     0.1261E+02       8.8     0.1268E+02     0.1256E+02     0.4304E-01            0.3
        move 2D particles     0.5009E+00       0.3     0.5044E+00     0.4961E+00     0.2993E-02            0.6
        sort 2D particles     0.0000E+00       0.0     0.0000E+00     0.0000E+00     0.0000E+00            NaN
     deposit 3D particles     0.1606E+02      11.2     0.1695E+02     0.1470E+02     0.8342E+00            5.2
        push 3D particles     0.3192E+02      22.3     0.3368E+02     0.2973E+02     0.1416E+01            4.4
        move 3D particles     0.2291E+01       1.6     0.2703E+01     0.1305E+01     0.5729E+00           25.0
              extract psi     0.0000E+00       0.0     0.0000E+00     0.0000E+00     0.0000E+00            NaN
              arithmetics     0.3800E+00       0.3     0.4384E+00     0.3214E+00     0.4483E-01           11.8
               write hdf5     0.1858E+01       1.3     0.4018E+01     0.1097E+01     0.1248E+01           67.2
    total simulation time     0.1434E+03     100.0     0.1465E+03     0.1404E+03     0.2261E+01            1.6
 ========================================================================================================================
