 ==================================================
                         EVENT     ELAPSE TIME (s)
 --------------------------------------------------
                     solve psi          0.1586E-01
                      solve bz          0.3307E-01
                 solve beam bt          0.1844E-01
               solve plasma bt          0.4277E-01
                      solve ez          0.3549E-01
                 solve beam et          0.0000E+00
               solve plasma et          0.1802E-02
                solve plasma A          0.0000E+00
                        smooth          0.0000E+00
              copy guard cells          0.2431E+00
        copy & add guard cells          0.3370E-02
                   copy slices          0.6553E-02
                      pipeline          0.1024E-01
          deposit 2D particles          0.1125E+01
             push 2D particles          0.3003E+00
             move 2D particles          0.5455E-01
             sort 2D particles          0.0000E+00
          deposit 3D particles          0.6560E+00
             push 3D particles          0.6662E+00
             move 3D particles          0.1017E+00
                   extract psi          0.0000E+00
                   arithmetics          0.9652E-02
                    write hdf5          0.1904E+00
         total simulation time          0.3065E+01
 ==================================================
